activity,activities_code,states,activities_name
museum exhibits,long,ma,longfellow house washington's headquarters national historic site
museum exhibits,lowe,ma,lowell national historical park
museum exhibits,lyjo,tx,lyndon b johnson national historical park
museum exhibits,maac,me,maine acadian culture
museum exhibits,mabi,vt,marsh - billings - rockefeller national historical park
museum exhibits,malu,ga,"martin luther king, jr. national historical park"
museum exhibits,mamc,dc,mary mcleod bethune council house national historic site
museum exhibits,mana,va,manassas national battlefield park
museum exhibits,manz,ca,manzanar national historic site
museum exhibits,mapr,"nm,wa,tn",manhattan project national historical park
museum exhibits,meve,co,mesa verde national park
museum exhibits,miin,"id,wa",minidoka national historic site
museum exhibits,mimi,sd,minuteman missile national historic site
museum exhibits,misp,ky,mill springs battlefield national monument
museum exhibits,miss,mn,mississippi national river and recreation area
museum exhibits,mnrr,"sd,ne",missouri national recreational river
museum exhibits,moca,az,montezuma castle national monument
museum exhibits,mocr,nc,moores creek national battlefield
museum exhibits,moja,ca,mojave national preserve
museum exhibits,mono,md,monocacy national battlefield
museum exhibits,mopi,"il,ia,ne,ut,wy",mormon pioneer national historic trail
museum exhibits,mora,wa,mount rainier national park
museum exhibits,morr,nj,morristown national historical park
museum exhibits,moru,sd,mount rushmore national memorial
museum exhibits,nama,dc,national mall and memorial parks
museum exhibits,natc,ms,natchez national historical park
museum exhibits,nepe,"id,mt,or,wa",nez perce national historical park
museum exhibits,neri,wv,new river gorge national park and preserve
museum exhibits,nisi,sc,ninety six national historic site
museum exhibits,noat,ak,noatak national preserve
museum exhibits,npnh,ny,national parks of new york harbor
museum exhibits,npsa,as,national park of american samoa
museum exhibits,ocmu,ga,ocmulgee mounds national historical park
museum exhibits,olym,wa,olympic national park
museum exhibits,orca,or,oregon caves national monument and preserve
museum exhibits,oreg,"id,ks,mo,ne,or,wa,wy",oregon national historic trail
museum exhibits,orpi,az,organ pipe cactus national monument
museum exhibits,ovvi,"nc,sc,tn,va",overmountain victory national historic trail
museum exhibits,oxhi,md,oxon cove park and oxon hill farm
museum exhibits,paal,tx,palo alto battlefield national historical park
museum exhibits,pais,tx,padre island national seashore
museum exhibits,peco,nm,pecos national historical park
museum exhibits,pefo,az,petrified forest national park
museum exhibits,peri,ar,pea ridge national military park
museum exhibits,pevi,oh,perry's victory and international peace memorial
museum exhibits,pipe,mn,pipestone national monument
museum exhibits,piro,mi,pictured rocks national lakeshore
museum exhibits,poex,"ca,co,ks,mo,ne,nv,ut,wy",pony express national historic trail
museum exhibits,popo,la,poverty point national monument
museum exhibits,prsf,ca,presidio of san francisco
museum exhibits,puhe,hi,puukohola heiau national historic site
museum exhibits,puho,hi,puuhonua o honaunau national historical park
museum exhibits,pull,il,pullman national historical park
museum exhibits,rich,va,richmond national battlefield park
museum exhibits,rira,mi,river raisin national battlefield park
museum exhibits,roca,me,roosevelt campobello international park
museum exhibits,rocr,dc,rock creek park
museum exhibits,rori,ca,rosie the riveter wwii home front national historical park
museum exhibits,ruca,al,russell cave national monument
museum exhibits,saan,tx,san antonio missions national historical park
museum exhibits,safe,"co,ks,mo,nm,ok",santa fe national historic trail
museum exhibits,safr,ca,san francisco maritime national historical park
museum exhibits,saga,nh,saint-gaudens national historical park
museum exhibits,sahi,ny,sagamore hill national historic site
museum exhibits,sair,ma,saugus iron works national historic site
museum exhibits,sama,ma,salem maritime national historical park
museum exhibits,sapa,ny,saint paul's church national historic site
museum exhibits,sapu,nm,salinas pueblo missions national monument
museum exhibits,sara,ny,saratoga national historical park
museum exhibits,sari,vi,salt river bay national historical park and ecological preserve
museum exhibits,scbl,ne,scotts bluff national monument
museum exhibits,seki,ca,sequoia and kings canyon national parks
museum exhibits,semo,al,selma to montgomery national historic trail
museum exhibits,shen,va,shenandoah national park
museum exhibits,shil,"tn,ms",shiloh national military park
museum exhibits,sitk,ak,sitka national historical park
museum exhibits,spar,ma,springfield armory national historic site
museum exhibits,stea,pa,steamtown national historic site
museum exhibits,stge,mo,ste. genevieve national historical park
museum exhibits,stli,ny,statue of liberty national monument
museum exhibits,ston,ny,stonewall national monument
museum exhibits,stri,tn,stones river national battlefield
museum exhibits,stsp,"dc,md,va",star-spangled banner national historic trail
museum exhibits,sucr,az,sunset crater volcano national monument
museum exhibits,thco,ny,thomas cole national historic site
museum exhibits,thrb,ny,theodore roosevelt birthplace national historic site
museum exhibits,thri,ny,theodore roosevelt inaugural national historic site
museum exhibits,thro,nd,theodore roosevelt national park
museum exhibits,till,"il,ms",emmett till and mamie till-mobley national monument
museum exhibits,timu,fl,timucuan ecological and historic preserve
museum exhibits,tont,az,tonto national monument
museum exhibits,trte,"al,ar,ga,il,ky,mo,nc,ok,tn",trail of tears national historic trail
museum exhibits,tuai,al,tuskegee airmen national historic site
museum exhibits,tuin,al,tuskegee institute national historic site
museum exhibits,tule,ca,tule lake national monument
museum exhibits,tuma,az,tumacacori national historical park
museum exhibits,tuzi,az,tuzigoot national monument
museum exhibits,ulsg,mo,ulysses s grant national historic site
museum exhibits,upde,"ny,pa",upper delaware scenic and recreational river
museum exhibits,vafo,pa,valley forge national historical park
museum exhibits,valr,hi,pearl harbor national memorial
museum exhibits,vick,"ms,la",vicksburg national military park
museum exhibits,voya,mn,voyageurs national park
museum exhibits,waba,ok,washita battlefield national historic site
museum exhibits,wapa,gu,war in the pacific national historical park
museum exhibits,wefa,ct,weir farm national historical park
museum exhibits,whho,dc,the white house and president's park
museum exhibits,whis,ca,whiskeytown national recreation area
museum exhibits,whmi,wa,whitman mission national historic site
museum exhibits,wica,sd,wind cave national park
museum exhibits,wicl,ar,president william jefferson clinton birthplace home national historic site
museum exhibits,wicr,mo,wilson's creek national battlefield
museum exhibits,wing,wa,wing luke museum affiliated area
museum exhibits,wori,ny,women's rights national historical park
